date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR
2005-09-02,1103,2499132,35673470,14.5,14.5,14.0,14.5,-0.1,478,0.0,0.99
2005-09-05,1103,891814,12858444,14.5,14.5,14.3,14.5,0.0,196,0.0,0.99
2005-09-06,1103,1303000,18869505,14.5,14.55,14.3,14.55,0.05,232,0.0,0.99
2005-09-07,1103,3014153,43979716,14.55,14.75,14.45,14.6,0.05,327,0.0,1.0
2005-09-08,1103,3211053,47070875,14.6,14.8,14.45,14.65,0.05,407,0.0,1.0
2005-09-09,1103,2026370,29589209,14.6,14.7,14.55,14.6,-0.05,190,0.0,1.0
2005-09-12,1103,1635967,23951008,14.6,14.7,14.5,14.65,0.05,180,0.0,1.0
2005-09-13,1103,1718985,25232335,14.6,14.7,14.6,14.7,0.05,306,0.0,1.0
2005-09-14,1103,2399047,35057056,14.7,14.7,14.4,14.65,-0.05,221,0.0,1.0
2005-09-15,1103,1200863,17516740,14.6,14.65,14.5,14.5,-0.15,169,0.0,0.99
2005-09-16,1103,1867607,27173102,14.5,14.6,14.5,14.55,0.05,254,0.0,0.99
2005-09-19,1103,2005030,29352270,14.6,14.7,14.55,14.7,0.15,272,0.0,1.0
2005-09-20,1103,946933,13829593,14.7,14.7,14.5,14.6,-0.1,193,0.0,1.0
2005-09-21,1103,867550,12654074,14.6,14.65,14.5,14.6,0.0,145,0.0,1.0
2005-09-22,1103,864154,12415288,14.5,14.5,14.25,14.25,-0.35,289,0.0,0.97
2005-09-23,1103,947567,13266634,14.25,14.25,13.9,14.0,-0.25,180,0.0,0.95
2005-09-26,1103,686407,9589616,14.0,14.05,13.9,14.0,0.0,130,0.0,0.95
2005-09-27,1103,1047084,14662298,13.9,14.15,13.9,14.1,0.1,291,0.0,0.96
2005-09-28,1103,1055450,14969076,14.1,14.3,14.0,14.1,0.0,215,0.0,0.96
2005-09-29,1103,453043,6334471,14.1,14.1,13.95,13.95,-0.15,89,0.0,0.95
2005-09-30,1103,731176,10271119,14.05,14.15,13.95,14.05,0.1,128,0.0,0.96
2005-10-03,1103,889486,12527657,14.0,14.2,14.0,14.05,0.0,205,0.0,0.96
2005-10-04,1103,1194186,16653934,14.05,14.2,13.9,14.05,0.0,223,0.0,0.96
2005-10-05,1103,982839,13767769,14.0,14.1,13.95,14.0,-0.05,149,0.0,0.95
2005-10-06,1103,1189324,16663390,14.0,14.15,13.9,14.1,0.1,198,0.0,0.96
2005-10-07,1103,957887,13381306,14.1,14.1,13.9,13.9,-0.2,153,0.0,0.95
2005-10-11,1103,2111641,29278519,13.9,14.1,13.7,14.1,0.2,279,0.0,0.96
2005-10-12,1103,2295347,32324213,14.1,14.2,13.95,14.0,-0.1,293,0.0,0.95
2005-10-13,1103,512076,7174356,14.1,14.1,13.9,13.95,-0.05,156,0.0,0.95
2005-10-14,1103,148570,2071345,13.95,14.0,13.9,13.95,0.0,72,0.0,0.95
2005-10-17,1103,1499676,21025880,13.9,14.2,13.85,13.9,-0.05,306,0.0,0.95
2005-10-18,1103,1334989,18788576,13.95,14.2,13.85,14.1,0.2,220,0.0,0.96
2005-10-19,1103,2970799,41519675,14.1,14.2,13.85,13.9,-0.2,399,0.0,0.95
2005-10-20,1103,1516107,20632079,13.8,13.8,13.4,13.7,-0.2,360,0.0,0.93
2005-10-21,1103,1431000,19743800,13.7,14.05,13.45,13.9,0.2,286,0.0,0.95
