date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice
2005-09-02,1528,492000,5313600,10.8,10.8,10.8,10.8,0.7,100,2005,14.79,0.79,0,0.0
2005-09-05,1528,2873465,32698344,11.55,11.55,11.0,11.0,0.2,675,2005,11.11,0.81,0,0.0
2005-09-06,1528,1302269,14368892,11.1,11.3,10.8,10.9,-0.1,327,2005,11.01,0.8,0,0.0
2005-09-07,1528,714265,7868722,11.05,11.2,10.85,10.95,0.05,180,2005,11.06,0.8,0,0.0
2005-09-08,1528,572800,6214861,10.9,11.0,10.7,10.95,0.0,167,2005,11.06,0.8,0,0.0
2005-09-09,1528,384000,4113550,10.95,10.95,10.65,10.65,-0.3,138,2005,10.76,0.78,0,0.0
2005-09-12,1528,466806,4922262,10.7,10.75,10.4,10.5,-0.15,140,2005,10.61,0.77,0,0.0
2005-09-13,1528,275453,2918179,10.5,10.75,10.5,10.55,0.05,100,2005,10.66,0.77,0,0.0
2005-09-14,1528,376007,3899173,10.55,10.6,10.3,10.3,-0.25,103,2005,10.4,0.75,0,0.0
2005-09-15,1528,689000,7035000,10.35,10.4,10.05,10.05,-0.25,183,2005,10.15,0.74,0,0.0
2005-09-16,1528,463999,4650569,10.05,10.15,9.92,10.05,0.0,119,2005,10.15,0.74,0,0.0
2005-09-19,1528,441000,4363900,10.1,10.1,9.8,9.9,-0.15,104,2005,10.0,0.72,0,0.0
2005-09-20,1528,497000,4961640,9.95,10.2,9.77,10.1,0.2,140,2005,10.2,0.74,0,0.0
2005-09-21,1528,337999,3420529,10.2,10.2,10.05,10.15,0.05,111,2005,10.25,0.74,0,0.0
2005-09-22,1528,262000,2640100,10.05,10.15,10.05,10.1,-0.05,79,2005,10.2,0.74,0,0.0
2005-09-23,1528,390125,3884315,10.1,10.1,9.9,9.92,-0.18,86,2005,10.02,0.73,0,0.0
2005-09-26,1528,119749,1189252,9.94,10.0,9.9,9.93,0.01,34,2005,10.03,0.73,0,0.0
2005-09-27,1528,227467,2237263,9.92,9.92,9.7,9.7,-0.23,77,2005,9.8,0.71,0,0.0
2005-09-28,1528,812471,7552673,9.8,9.8,9.05,9.3,-0.4,194,2005,9.39,0.68,0,0.0
2005-09-29,1528,597519,5525870,9.39,9.39,9.1,9.3,0.0,152,2005,9.39,0.68,0,0.0
2005-09-30,1528,883000,8556260,9.39,9.89,9.39,9.71,0.41,201,2005,9.81,0.71,0,0.0
2005-10-03,1528,639000,6109410,9.7,9.7,9.5,9.5,-0.21,150,2005,9.6,0.7,0,0.0
2005-10-04,1528,435273,4094839,9.6,9.6,9.31,9.49,-0.01,144,2005,9.59,0.69,0,0.0
2005-10-05,1528,672000,6280790,9.35,9.49,9.26,9.4,-0.09,166,2005,9.49,0.69,0,0.0
2005-10-06,1528,287850,2677176,9.39,9.39,9.2,9.34,-0.06,89,2005,9.43,0.68,0,0.0
2005-10-07,1528,273000,2531250,9.32,9.32,9.21,9.22,-0.12,81,2005,9.31,0.67,0,0.0
2005-10-11,1528,227176,2109543,9.29,9.35,9.23,9.25,0.03,66,2005,9.34,0.68,0,0.0
2005-10-12,1528,433569,4014833,9.3,9.37,9.1,9.1,-0.15,133,2005,9.19,0.67,0,0.0
2005-10-13,1528,282888,2591002,9.1,9.25,9.06,9.17,0.07,100,2005,9.26,0.67,0,0.0
2005-10-14,1528,700992,6640792,9.3,9.68,9.23,9.45,0.28,229,2005,9.55,0.69,0,0.0
2005-10-17,1528,580374,5378793,9.5,9.5,9.11,9.28,-0.17,175,2005,9.37,0.68,0,0.0
2005-10-18,1528,201958,1867886,9.28,9.28,9.14,9.22,-0.06,57,2005,9.31,0.67,0,0.0
2005-10-19,1528,508742,4649772,9.11,9.29,9.01,9.22,0.0,126,2005,9.31,0.67,0,0.0
2005-10-20,1528,489494,4460269,9.2,9.2,9.03,9.1,-0.12,106,2005,9.19,0.67,0,0.0
2005-10-21,1528,512126,4609930,9.01,9.15,8.9,9.0,-0.1,94,2005,9.09,0.66,0,0.0
2005-10-24,1528,180250,1611693,9.0,9.1,8.85,8.85,-0.15,53,2005,8.94,0.65,0,0.0
2005-10-25,1528,358375,3186150,8.95,8.96,8.8,8.8,-0.05,90,2005,8.89,0.64,0,0.0
2005-10-26,1528,761325,6571747,8.8,8.9,8.51,8.69,-0.11,157,2005,8.78,0.64,0,0.0
2005-10-27,1528,711685,6265376,8.62,9.0,8.51,8.85,0.16,161,2005,8.94,0.65,0,0.0
2005-10-28,1528,99510,871787,8.81,8.89,8.65,8.68,-0.17,45,2005,8.77,0.64,0,0.0
2005-10-31,1528,370500,3315962,8.68,9.11,8.68,9.05,0.37,99,2005,9.14,0.66,0,0.0
2005-11-01,1528,276750,2494610,9.1,9.1,8.95,9.0,-0.05,77,2005,9.09,0.64,0,0.0
2005-11-02,1528,178750,1583651,8.85,8.99,8.8,8.83,-0.17,65,2005,8.66,0.62,0,0.0
2005-11-03,1528,653711,5813848,8.9,8.98,8.8,8.94,0.11,136,2005,8.76,0.63,0,0.0
2005-11-04,1528,1713825,15937650,8.94,9.55,8.9,9.3,0.36,349,2005,9.12,0.66,0,0.0
2005-11-07,1528,527000,4847510,9.3,9.3,9.05,9.05,-0.25,92,2005,8.87,0.64,0,0.0
2005-11-08,1528,380586,3426054,9.01,9.05,9.0,9.0,-0.05,68,2005,8.82,0.64,0,0.0
2005-11-09,1528,536750,4885500,9.0,9.24,8.92,9.2,0.2,118,2005,9.02,0.65,0,0.0
2005-11-10,1528,1317000,12231340,9.11,9.4,9.11,9.4,0.2,233,2005,9.22,0.66,0,0.0
2005-11-11,1528,1482625,14125582,9.47,9.69,9.42,9.52,0.12,266,2005,9.33,0.67,0,0.0
2005-11-14,1528,630000,6099848,9.56,9.9,9.46,9.61,0.09,158,2005,9.42,0.68,0,0.0
2005-11-15,1528,772002,7423958,9.74,9.75,9.58,9.64,0.03,130,2005,9.45,0.68,0,0.0
2005-11-16,1528,473900,4569109,9.64,9.82,9.5,9.64,0.0,132,2005,9.45,0.68,0,0.0
2005-11-17,1528,280276,2709682,9.62,9.72,9.6,9.65,0.01,62,2005,9.46,0.68,0,0.0
2005-11-18,1528,525000,5123010,9.85,9.85,9.7,9.8,0.15,104,2005,9.61,0.69,0,0.0
2005-11-21,1528,358750,3476792,9.8,9.8,9.62,9.65,-0.15,76,2005,9.46,0.68,0,0.0
2005-11-22,1528,252994,2434981,9.65,9.72,9.52,9.69,0.04,59,2005,9.5,0.68,0,0.0
2005-11-23,1528,124975,1201039,9.72,9.72,9.54,9.66,-0.03,46,2005,9.47,0.68,0,0.0
2005-11-24,1528,209250,2024462,9.8,9.8,9.6,9.79,0.13,66,2005,9.6,0.69,0,0.0
2005-11-25,1528,280750,2740725,9.79,9.83,9.64,9.78,-0.01,81,2005,9.59,0.69,0,0.0
2005-11-28,1528,374600,3663897,9.78,9.9,9.63,9.87,0.09,97,2005,9.68,0.7,0,0.0
2005-11-29,1528,308534,3007501,9.87,9.87,9.65,9.79,-0.08,67,2005,9.6,0.69,0,0.0
2005-11-30,1528,427450,4127642,9.7,9.72,9.6,9.6,-0.19,91,2005,9.41,0.68,0,0.0
2005-12-01,1528,174000,1669700,9.6,9.69,9.55,9.65,0.05,56,2005,9.46,0.68,0,0.0
2005-12-02,1528,414000,3953910,9.69,9.69,9.5,9.59,-0.06,68,2005,9.4,0.68,0,0.0
2005-12-05,1528,455750,4437514,9.6,9.9,9.56,9.9,0.31,116,2005,9.71,0.7,0,0.0
2005-12-06,1528,232750,2290855,9.9,9.9,9.8,9.89,-0.01,58,2005,9.7,0.7,0,0.0
2005-12-07,1528,497000,4883630,9.88,9.89,9.77,9.84,-0.05,73,2005,9.65,0.7,0,0.0
2005-12-08,1528,1367750,14135551,9.88,10.5,9.88,10.5,0.66,266,2005,10.29,0.74,0,0.0
2005-12-09,1528,3654260,40020567,11.0,11.15,10.8,10.85,0.35,711,2005,10.64,0.77,0,0.0
2005-12-12,1528,1409365,15722656,11.2,11.35,10.9,11.05,0.2,337,2005,10.83,0.78,0,0.0
2005-12-13,1528,623950,6816289,11.25,11.25,10.8,10.85,-0.2,176,2005,10.64,0.77,0,0.0
2005-12-14,1528,587500,6433343,10.85,11.1,10.85,10.9,0.05,118,2005,10.69,0.77,0,0.0
2005-12-15,1528,1888248,20967787,10.9,11.4,10.55,11.25,0.35,470,2005,11.03,0.8,0,0.0
2005-12-16,1528,2823350,32783666,11.4,11.9,11.25,11.6,0.35,599,2005,11.37,0.82,0,0.0
2005-12-19,1528,2422436,28642887,11.85,12.15,11.55,11.8,0.2,440,2005,11.57,0.83,0,0.0
2005-12-20,1528,1463475,16988309,11.5,11.85,11.4,11.6,-0.2,317,2005,11.37,0.82,0,0.0
2005-12-21,1528,2314133,25993522,11.5,11.6,11.0,11.3,-0.3,489,2005,11.08,0.8,0,0.0
2005-12-22,1528,1391448,15473986,11.3,11.35,10.95,11.0,-0.3,273,2005,10.78,0.78,0,0.0
2005-12-23,1528,1581218,17995488,11.35,11.5,11.2,11.4,0.4,416,2005,11.18,0.81,0,0.0
2005-12-26,1528,696421,7854718,11.5,11.5,11.2,11.3,-0.1,195,2005,11.08,0.8,0,0.0
2005-12-27,1528,560583,6292913,11.35,11.35,11.1,11.1,-0.2,160,2005,10.88,0.78,0,0.0
2005-12-28,1528,943998,10378725,11.05,11.15,10.85,11.0,-0.1,230,2005,10.78,0.78,0,0.0
2005-12-29,1528,951714,10584561,11.0,11.4,10.95,11.05,0.05,295,2005,10.83,0.78,0,0.0
2005-12-30,1528,3168859,35510502,11.05,11.35,11.05,11.35,0.3,335,2005,11.13,0.8,0,0.0
2006-01-02,1528,1210539,13766059,11.3,11.6,11.2,11.25,-0.1,267,2006,11.03,0.8,0,0.0
2006-01-03,1528,1233846,13979379,11.2,11.45,11.2,11.2,-0.05,285,2006,10.98,0.79,0,0.0
2006-01-04,1528,1273995,14429188,11.4,11.5,11.2,11.25,0.05,319,2006,11.03,0.8,0,0.0
2006-01-05,1528,1284497,14527435,11.3,11.45,11.2,11.25,0.0,269,2006,11.03,0.8,0,0.0
2006-01-06,1528,2013001,23708362,11.4,12.0,11.25,12.0,0.75,392,2006,11.76,0.85,0,0.0
2006-01-09,1528,7103492,90192634,12.8,12.8,12.35,12.8,0.8,1214,2006,12.55,0.9,0,0.0
2006-01-10,1528,5047266,65643235,13.0,13.3,12.55,13.05,0.25,1047,2006,12.79,0.92,0,0.0
2006-01-11,1528,3061975,40783716,13.3,13.55,13.1,13.2,0.15,691,2006,12.94,0.93,0,0.0
2006-01-12,1528,1659000,21499448,13.4,13.4,12.55,12.55,-0.65,387,2006,12.3,0.89,0,0.0
2006-01-13,1528,1310325,16240489,12.85,12.85,12.2,12.45,-0.1,307,2006,12.21,0.88,0,0.0
2006-01-16,1528,545428,6753497,12.6,12.6,12.2,12.25,-0.2,135,2006,12.01,0.87,0,0.0
2006-01-17,1528,974723,11747252,12.25,12.5,11.85,12.0,-0.25,237,2006,11.76,0.85,0,0.0
2006-01-18,1528,1291500,14702050,11.8,11.9,11.2,11.2,-0.8,288,2006,10.98,0.79,0,0.0
2006-01-19,1528,1021791,11636958,11.2,11.7,11.15,11.35,0.15,249,2006,11.13,0.8,0,0.0
2006-01-20,1528,838905,9709007,11.35,11.65,11.35,11.6,0.25,202,2006,11.37,0.82,0,0.0
2006-01-23,1528,1101000,12444650,11.6,11.7,11.0,11.1,-0.5,241,2006,10.88,0.78,0,0.0
2006-01-24,1528,662999,7538486,11.1,11.55,11.1,11.45,0.35,167,2006,11.23,0.81,0,0.0
2006-01-25,1528,826025,9428786,11.45,11.55,11.25,11.5,0.05,168,2006,11.27,0.81,0,0.0
2006-02-03,1528,681150,7926711,11.2,11.8,11.2,11.8,0.3,153,2006,11.57,0.83,0,0.0
2006-02-06,1528,3538090,44037463,11.8,12.6,11.8,12.5,0.7,536,2006,13.3,0.88,0,0.0
2006-02-07,1528,2854600,34217150,12.35,12.35,11.8,12.05,-0.45,589,2006,12.82,0.85,0,0.0
2006-02-08,1528,4424467,50783669,12.0,12.0,11.25,11.8,-0.25,607,2006,12.55,0.83,0,0.0
