date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE
2007-08-01,2221,1179000,64868200,69.5,69.5,49.3,51.0,29.0,872,2007,17.83,2.83,4.24,216.24,2.6270966111620018,0,0
2007-08-02,2221,938000,42644400,51.0,52.0,41.9,45.0,-6.0,634,2007,15.73,2.5,4.24,190.8,2.250687415142125,0,0
2007-08-03,2221,549000,26047050,47.0,49.95,45.0,47.2,2.2,380,2007,16.5,2.62,4.24,200.12800000000001,2.360721022104629,0,0
2007-08-06,2221,231000,10284450,45.0,45.0,43.05,44.6,-2.6,153,2007,15.59,2.48,4.24,189.104,2.230681304785306,0,0
2007-08-07,2221,274000,12224900,45.25,46.3,44.0,44.0,-0.6,178,2007,15.38,2.44,4.24,186.56,2.2006721392500777,0,0
2007-08-08,2221,223000,9824550,44.0,44.7,43.8,43.9,-0.1,149,2007,15.35,2.44,4.24,186.136,2.195670611660873,0,0
2007-08-09,2221,413000,17712600,44.0,44.0,42.6,43.0,-0.9,223,2007,15.03,2.39,4.24,182.32000000000002,2.1506568633580305,0,0
2007-08-10,2221,485000,21395100,42.0,45.0,42.0,45.0,2.0,292,2007,15.73,2.5,4.24,190.8,2.250687415142125,0,0
2007-08-13,2221,216000,9602800,45.1,45.6,43.8,44.2,-0.8,137,2007,15.45,2.45,4.24,187.40800000000002,2.2106751944284873,0,0
2007-08-14,2221,88000,3862400,44.2,44.25,43.2,43.4,-0.8,61,2007,15.17,2.41,4.24,184.016,2.1706629737148493,0,0
2007-08-15,2221,247000,10244500,43.0,43.0,40.4,40.4,-3.0,143,2007,14.13,2.24,4.24,171.296,2.0206171460387075,0,0
2007-08-16,2221,150000,5733100,38.3,39.0,37.8,38.1,-2.3,108,2007,13.32,2.12,4.24,161.544,1.905582011486999,0,0
2007-08-17,2221,179000,6483700,38.1,38.1,35.45,35.6,-2.5,115,2007,12.45,1.98,4.24,150.94400000000002,1.7805438217568812,0,0
2007-08-20,2221,128000,4715050,37.5,37.5,36.2,37.0,1.4,78,2007,12.94,2.05,4.24,156.88,1.850565208005747,0,0
2007-08-21,2221,80000,2893950,37.0,37.0,35.8,35.95,-1.05,44,2007,12.57,2.0,4.24,152.42800000000003,1.7980491683190978,0,0
2007-08-22,2221,137000,4880100,36.2,36.2,35.0,35.5,-0.45,73,2007,12.41,1.97,4.24,150.52,1.7755422941676762,0,0
2007-08-23,2221,133000,4981750,36.2,37.95,36.2,37.95,2.45,94,2007,13.27,2.11,4.24,160.90800000000002,1.8980797201031923,0,0
2007-08-24,2221,237000,9527100,39.0,40.6,39.0,40.6,2.65,141,2007,14.2,2.25,4.24,172.144,2.030620201217117,0,0
2007-08-27,2221,221000,9591400,43.4,43.4,43.4,43.4,2.8,110,2007,15.17,2.41,4.24,184.016,2.1706629737148493,0,0
2007-08-28,2221,429000,17992250,44.6,44.6,40.4,40.4,-3.0,250,2007,14.13,2.24,4.24,171.296,2.0206171460387075,0,0
2007-08-29,2221,246000,9959200,38.6,42.5,38.6,42.0,1.6,152,2007,14.69,2.33,4.24,178.08,2.1006415874659834,0,0
2007-08-30,2221,146000,6024000,41.9,42.5,39.85,41.0,-1.0,104,2007,14.34,2.28,4.24,173.84,2.050626311573936,0,0
2007-08-31,2221,152000,6237650,40.2,42.0,40.2,41.1,0.1,99,2007,14.37,2.28,4.24,174.264,2.0556278391631406,0,0
2007-09-03,2221,184000,7528700,41.0,41.1,40.6,40.7,-0.4,89,2007,14.23,2.26,4.24,172.568,2.014954999556301,0,0
2007-09-04,2221,41000,1662000,41.0,41.0,40.05,40.8,0.1,36,2007,14.27,2.27,4.24,172.992,2.01990574894096,0,0
2007-09-05,2221,77000,3102900,41.0,41.5,40.0,40.15,-0.65,39,2007,14.04,2.23,4.24,170.236,1.987725877940675,0,0
2007-09-06,2221,49000,1948600,40.1,40.35,39.15,39.85,-0.3,42,2007,13.93,2.21,4.24,168.96400000000003,1.9728736297866978,0,0
2007-09-07,2221,79000,3106450,39.8,39.8,39.1,39.8,-0.05,54,2007,13.92,2.21,4.24,168.752,1.9703982550943677,0,0
2007-09-10,2221,57000,2239850,39.1,39.8,39.1,39.25,-0.55,34,2007,13.72,2.18,4.24,166.42000000000002,1.9431691334787424,0,0
2007-09-11,2221,64000,2536000,39.15,40.4,39.15,39.7,0.45,42,2007,13.88,2.2,4.24,168.32800000000003,1.965447505709709,0,0
2007-09-12,2221,93000,3673550,39.7,39.7,39.3,39.3,-0.4,51,2007,13.23,2.29,4.24,166.632,1.9456445081710718,0,0
2007-09-13,2221,54000,2099500,39.1,39.4,38.5,38.5,-0.8,40,2007,12.96,2.24,4.24,163.24,1.906038513093798,0,0
2007-09-14,2221,27000,1052700,38.9,39.65,38.65,38.7,0.2,25,2007,13.03,2.26,4.24,164.08800000000002,1.9159400118631167,0,0
2007-09-17,2221,63000,2427300,38.7,38.85,38.15,38.85,0.15,36,2007,13.08,2.26,4.24,164.72400000000002,1.9233661359401055,0,0
2007-09-19,2221,112000,4476100,41.5,41.5,39.1,39.1,0.25,71,2007,13.16,2.28,4.24,165.78400000000002,1.9357430094017536,0,0
2007-09-20,2221,39000,1507900,39.2,39.2,38.5,38.6,-0.5,28,2007,13.0,2.25,4.24,163.66400000000002,1.9109892624784575,0,0
2007-09-21,2221,71000,2701650,38.0,38.4,37.75,38.3,-0.3,41,2007,12.9,2.23,4.24,162.392,1.8961370143244796,0,0
2007-09-26,2221,38000,1471100,39.8,39.8,38.3,38.85,0.55,30,2007,13.08,2.26,4.24,164.72400000000002,1.9233661359401055,0,0
2007-09-27,2221,70000,2716600,38.85,39.1,38.55,38.9,0.05,38,2007,13.1,2.27,4.24,164.936,1.925841510632435,0,0
2007-09-28,2221,63000,2458250,39.0,39.4,38.6,38.9,0.0,39,2007,13.1,2.27,4.24,164.936,1.925841510632435,0,0
2007-10-01,2221,59000,2279200,38.8,38.8,38.5,38.6,-0.7,42,2007,13.0,2.25,4.24,163.66400000000002,1.9109892624784575,0,0
2007-10-02,2221,84000,3227700,38.6,38.85,38.0,38.0,-0.6,52,2007,12.79,2.21,4.24,161.12,1.8946823772901527,0,0
2007-10-03,2221,88000,3345700,38.0,38.25,37.75,37.8,-0.2,63,2007,12.73,2.2,4.24,160.272,1.8847103647780992,0,0
2007-10-04,2221,43000,1621050,37.75,38.0,37.6,38.0,0.2,34,2007,12.79,2.21,4.24,161.12,1.8946823772901527,0,0
2007-10-05,2221,26000,987900,37.6,38.7,37.6,37.7,-0.3,15,2007,12.69,2.2,4.24,159.848,1.8797243585220729,0,0
2007-10-08,2221,23000,874150,37.8,38.55,37.8,37.9,0.2,14,2007,12.76,2.21,4.24,160.696,1.889696371034126,0,0
2007-10-09,2221,58000,2113850,37.9,37.9,36.0,36.0,-1.9,43,2007,12.12,2.1,4.24,152.64000000000001,1.7949622521696185,0,0
2007-10-11,2221,142000,4946000,35.1,35.9,34.0,34.1,-1.9,67,2007,11.48,1.99,4.24,144.584,1.7002281333051106,0,0
2007-10-12,2221,168000,5565850,34.0,34.0,32.6,32.7,-1.4,97,2007,11.01,1.91,4.24,138.64800000000002,1.6304240457207368,0,0
2007-10-15,2221,67000,2140150,32.7,32.7,31.7,32.0,-0.7,46,2007,10.77,1.86,4.24,135.68,1.5955220019285496,0,0
2007-10-16,2221,116000,3859950,31.5,34.2,31.5,34.2,2.2,82,2007,11.52,1.99,4.24,145.008,1.7052141395611373,0,0
2007-10-17,2221,37000,1243000,33.6,34.1,33.0,33.5,-0.7,28,2007,11.28,1.95,4.24,142.04000000000002,1.6703120957689506,0,0
2007-10-18,2221,51000,1754900,34.0,34.8,34.0,34.1,0.6,39,2007,11.48,1.99,4.24,144.584,1.7002281333051106,0,0
2007-10-19,2221,39000,1313500,34.0,34.0,33.5,33.7,-0.4,20,2007,11.35,1.96,4.24,142.888,1.6802841082810038,0,0
2007-10-22,2221,17000,555450,32.4,33.0,32.2,33.0,-0.7,15,2007,11.11,1.92,4.24,139.92000000000002,1.645382064488817,0,0
2007-10-23,2221,14000,453900,32.0,33.4,32.0,32.5,-0.5,11,2007,10.94,1.89,4.24,137.8,1.6204520332086831,0,0
2007-10-24,2221,40000,1362600,33.0,34.75,33.0,33.2,0.7,36,2007,11.18,1.93,4.24,140.76800000000003,1.6553540770008706,0,0
2007-10-25,2221,14000,459650,33.5,33.5,32.6,32.7,-0.5,11,2007,11.01,1.91,4.24,138.64800000000002,1.6304240457207368,0,0
2007-10-26,2221,30000,978650,32.5,32.9,32.5,32.9,0.2,23,2007,11.08,1.92,4.24,139.496,1.64039605823279,0,0
2007-10-29,2221,31000,1040800,34.75,34.75,33.1,33.15,0.25,19,2007,11.16,1.93,4.24,140.556,1.6528610738728569,0,0
2007-10-30,2221,52000,1748150,33.5,34.0,33.5,33.6,0.45,37,2007,11.31,1.96,4.24,142.46400000000003,1.6752981020249773,0,0
2007-10-31,2221,30000,996850,33.4,34.1,32.75,32.8,-0.8,23,2007,11.04,1.91,4.24,139.072,1.6354100519767634,0,0
2007-11-01,2221,25000,832950,33.0,34.0,33.0,33.0,0.2,18,2007,11.11,1.92,4.24,139.92000000000002,1.645382064488817,0,0
2007-11-02,2221,20000,655600,32.7,33.0,32.6,32.7,-0.3,12,2007,11.01,1.91,4.24,138.64800000000002,1.6071031157270033,0,0
2007-11-05,2221,15000,491950,33.0,33.15,32.5,32.6,-0.1,11,2007,10.98,1.9,4.24,138.22400000000002,1.6021884272997036,0,0
2007-11-06,2221,25000,817400,32.6,32.9,32.5,32.5,-0.1,20,2007,10.94,1.89,4.24,137.8,1.5972737388724036,0,0
2007-11-07,2221,55000,1790350,32.5,33.6,32.4,32.4,-0.1,27,2007,10.91,1.89,4.24,137.376,1.592359050445104,0,0
2007-11-08,2221,43000,1369500,32.6,32.75,30.8,30.8,-1.6,33,2007,10.37,1.79,4.24,130.592,1.5137240356083088,0,0
2007-11-09,2221,35000,1056300,30.5,30.6,30.0,30.05,-0.75,31,2007,10.12,1.75,4.24,127.412,1.4768638724035608,0,0
2007-11-12,2221,31000,898300,29.5,29.5,28.65,29.0,-1.05,25,2007,9.9,1.59,4.24,122.96000000000001,1.4252596439169138,0,0
2007-11-13,2221,17000,500900,29.5,29.75,29.0,29.3,0.3,12,2007,10.0,1.6,4.24,124.23200000000001,1.4400037091988134,0,0
2007-11-14,2221,40000,1212550,30.45,31.15,30.0,31.15,1.85,13,2007,10.63,1.7,4.24,132.076,1.5309254451038576,0,0
2007-11-15,2221,16000,483500,31.25,31.25,29.9,30.1,-1.05,10,2007,10.27,1.65,4.24,127.62400000000001,1.4793212166172107,0,0
2007-11-16,2221,36000,1070000,30.0,31.1,29.3,29.5,-0.6,24,2007,10.07,1.61,4.24,125.08000000000001,1.4498330860534128,0,0
2007-11-19,2221,22000,652300,29.8,30.0,29.5,30.0,0.5,13,2007,10.24,1.64,4.24,127.2,1.474406528189911,0,0
2007-11-20,2221,31000,910600,28.05,31.1,28.05,31.1,1.1,25,2007,10.61,1.7,4.24,131.864,1.5284681008902077,0,0
2007-11-21,2221,6000,179450,29.85,30.0,29.85,30.0,-1.1,6,2007,10.24,1.64,4.24,127.2,1.474406528189911,0,0
2007-11-22,2221,12000,359500,30.0,30.0,29.6,29.6,-0.4,7,2007,10.1,1.62,4.24,125.50400000000002,1.4547477744807125,0,0
2007-11-23,2221,18000,536000,30.0,30.0,29.4,29.5,-0.1,11,2007,10.07,1.61,4.24,125.08000000000001,1.4498330860534128,0,0
2007-11-26,2221,3000,88100,29.5,29.5,29.3,29.3,-0.2,3,2007,10.0,1.6,4.24,124.23200000000001,1.4400037091988134,0,0
2007-11-27,2221,16000,455450,29.0,29.0,28.3,29.0,-0.3,12,2007,9.9,1.59,4.24,122.96000000000001,1.4252596439169138,0,0
2007-11-28,2221,158000,4680350,29.4,30.8,29.4,30.2,1.2,34,2007,10.31,1.65,4.24,128.048,1.4842359050445104,0,0
2007-11-29,2221,44000,1306150,30.7,30.7,29.25,29.25,-0.95,39,2007,9.98,1.6,4.24,124.02000000000001,1.4375463649851632,0,0
2007-11-30,2221,45000,1326350,29.25,29.6,29.15,29.5,0.25,24,2007,10.07,1.61,4.24,125.08000000000001,1.4498330860534128,0,0
2007-12-03,2221,21000,621000,29.6,29.7,29.45,29.45,-0.05,13,2007,10.05,1.61,4.24,124.86800000000001,1.460628944942753,0,0
2007-12-04,2221,17000,501450,29.5,29.6,29.3,29.3,-0.15,12,2007,10.0,1.6,4.24,124.23200000000001,1.453189408720634,0,0
2007-12-05,2221,18000,526200,29.5,29.5,29.1,29.3,0.0,13,2007,10.0,1.6,4.24,124.23200000000001,1.453189408720634,0,0
2007-12-06,2221,28000,832050,29.5,30.1,29.5,29.65,0.35,22,2007,10.12,1.62,4.24,125.716,1.4705483265722454,0,0
2007-12-07,2221,37000,1094950,29.7,29.8,29.3,29.3,-0.35,25,2007,10.0,1.6,4.24,124.23200000000001,1.453189408720634,0,0
