date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA
2005-09-02,2616,8000,108150,13.5,13.55,13.5,13.55,-0.15,5,2005,8.07,0.83,8.45,114.4975,0.14768579052383424,5.0,10.0
2005-09-05,2616,17002,231376,13.55,13.7,13.55,13.6,0.05,12,2005,8.83,0.83,8.45,114.91999999999999,0.1482307565405273,5.0,10.0
2005-09-06,2616,4010,54235,13.6,13.6,13.5,13.5,-0.1,4,2005,8.77,0.83,8.45,114.07499999999999,0.1471408245071411,5.0,10.0
2005-09-07,2616,127999,1736465,13.5,13.7,13.5,13.65,0.15,26,2005,8.86,0.83,8.45,115.34249999999999,0.14877572255722044,5.0,10.0
2005-09-08,2616,17008,232054,13.65,13.7,13.6,13.6,-0.05,14,2005,8.83,0.83,8.45,114.91999999999999,0.1482307565405273,5.0,10.0
2005-09-09,2616,4317,58688,13.6,13.6,13.6,13.6,0.0,7,2005,8.83,0.83,8.45,114.91999999999999,0.1482307565405273,5.0,10.0
2005-09-12,2616,53329,722779,13.6,13.65,13.5,13.55,-0.05,21,2005,8.8,0.83,8.45,114.4975,0.14768579052383424,5.0,10.0
2005-09-13,2616,63150,851272,13.5,13.5,13.45,13.45,-0.1,15,2005,8.73,0.82,8.45,113.65249999999999,0.146595858490448,5.0,10.0
2005-09-14,2616,29202,394002,13.5,13.5,13.45,13.45,0.0,13,2005,8.73,0.82,8.45,113.65249999999999,0.146595858490448,5.0,10.0
2005-09-15,2616,16000,214900,13.45,13.45,13.4,13.4,-0.05,9,2005,8.7,0.82,8.45,113.22999999999999,0.14605089247375488,5.0,10.0
2005-09-16,2616,21000,279550,13.4,13.4,13.25,13.3,-0.1,12,2005,8.64,0.81,8.45,112.38499999999999,0.14496096044036866,5.0,10.0
2005-09-19,2616,2000,26600,13.3,13.3,13.3,13.3,0.0,1,2005,8.64,0.81,8.45,112.38499999999999,0.14496096044036866,5.0,10.0
2005-09-20,2616,23005,302866,13.2,13.4,13.0,13.3,0.0,16,2005,8.64,0.81,8.45,112.38499999999999,0.14496096044036866,5.0,10.0
2005-09-21,2616,37124,494789,13.3,13.45,13.3,13.45,0.15,19,2005,8.73,0.82,8.45,113.65249999999999,0.146595858490448,5.0,10.0
2005-09-22,2616,63483,848212,13.3,13.5,13.3,13.4,-0.05,22,2005,8.7,0.82,8.45,113.22999999999999,0.14605089247375488,5.0,10.0
2005-09-23,2616,100000,1326600,13.2,13.3,13.2,13.3,-0.1,13,2005,8.64,0.81,8.45,112.38499999999999,0.14496096044036866,5.0,10.0
2005-09-26,2616,132000,1786200,13.3,13.75,13.3,13.55,0.25,46,2005,8.8,0.83,8.45,114.4975,0.14768579052383424,5.0,10.0
2005-09-27,2616,43344,593435,13.4,13.75,13.4,13.75,0.2,24,2005,8.93,0.84,8.45,116.18749999999999,0.14986565459060666,5.0,10.0
2005-09-28,2616,45570,626046,13.75,13.75,13.5,13.75,0.0,15,2005,8.93,0.84,8.45,116.18749999999999,0.14986565459060666,5.0,10.0
2005-09-29,2616,107488,1468873,13.75,13.75,13.5,13.75,0.0,28,2005,8.93,0.84,8.45,116.18749999999999,0.14986565459060666,5.0,10.0
2005-09-30,2616,63342,864015,13.55,13.7,13.5,13.65,-0.1,35,2005,8.86,0.83,8.45,115.34249999999999,0.14877572255722044,5.0,10.0
2005-10-03,2616,168678,2289398,13.65,13.75,13.3,13.6,-0.05,87,2005,8.83,0.83,8.45,114.91999999999999,0.14402502315717336,5.0,10.0
2005-10-04,2616,110010,1508935,13.55,13.85,13.55,13.75,0.15,43,2005,8.93,0.84,8.45,116.18749999999999,0.14561353444199512,5.0,10.0
2005-10-05,2616,97001,1331363,13.6,13.8,13.6,13.8,0.05,27,2005,8.96,0.84,8.45,116.61,0.14614303820360242,5.0,10.0
2005-10-06,2616,61938,852178,13.8,13.8,13.6,13.75,-0.05,17,2005,8.93,0.84,8.45,116.18749999999999,0.14561353444199512,5.0,10.0
2005-10-07,2616,50000,685250,13.75,13.8,13.6,13.75,0.0,13,2005,8.93,0.84,8.45,116.18749999999999,0.14561353444199512,5.0,10.0
2005-10-11,2616,161007,2213195,13.75,13.85,13.65,13.85,0.1,41,2005,8.99,0.85,8.45,117.03249999999998,0.14667254196520962,5.0,10.0
2005-10-12,2616,104000,1433500,13.7,13.85,13.65,13.85,0.0,33,2005,8.99,0.85,8.45,117.03249999999998,0.14667254196520962,5.0,10.0
2005-10-13,2616,131158,1792604,13.8,13.85,13.55,13.8,-0.05,45,2005,8.96,0.84,8.45,116.61,0.14614303820360242,5.0,10.0
2005-10-14,2616,55000,757850,13.65,14.0,13.6,13.85,0.05,35,2005,8.99,0.85,8.45,117.03249999999998,0.14667254196520962,5.0,10.0
2005-10-17,2616,120578,1649864,13.75,13.85,13.55,13.85,0.0,21,2005,8.99,0.85,8.45,117.03249999999998,0.14667254196520962,5.0,10.0
2005-10-18,2616,38002,523077,13.8,13.85,13.6,13.8,-0.05,16,2005,8.96,0.84,8.45,116.61,0.14614303820360242,5.0,10.0
2005-10-19,2616,104066,1414056,13.6,13.7,13.5,13.7,-0.1,34,2005,8.9,0.84,8.45,115.76499999999999,0.14508403068038786,5.0,10.0
2005-10-20,2616,43000,584400,13.5,13.7,13.4,13.65,-0.05,25,2005,8.86,0.83,8.45,115.34249999999999,0.14455452691878062,5.0,10.0
2005-10-21,2616,124363,1705929,13.55,14.0,13.45,13.9,0.25,53,2005,9.03,0.85,8.45,117.455,0.14720204572681692,5.0,10.0
2005-10-24,2616,41280,569876,13.6,13.9,13.6,13.8,-0.1,25,2005,8.96,0.84,8.45,116.61,0.14614303820360242,5.0,10.0
2005-10-25,2616,45354,625585,13.6,13.9,13.6,13.8,0.0,34,2005,8.96,0.84,8.45,116.61,0.14614303820360242,5.0,10.0
2005-10-26,2616,139314,1907060,13.6,13.75,13.6,13.75,-0.05,23,2005,8.93,0.84,8.45,116.18749999999999,0.14561353444199512,5.0,10.0
2005-10-27,2616,78897,1077868,13.6,13.7,13.6,13.7,-0.05,24,2005,8.9,0.84,8.45,115.76499999999999,0.14508403068038786,5.0,10.0
2005-10-28,2616,86601,1167890,13.6,13.6,13.3,13.55,-0.15,30,2005,8.8,0.83,8.45,114.4975,0.14349551939556612,5.0,10.0
2005-10-31,2616,29630,402718,13.6,13.65,13.55,13.65,0.1,23,2005,8.86,0.83,8.45,115.34249999999999,0.14455452691878062,5.0,10.0
2005-11-01,2616,62296,846217,13.6,13.6,13.55,13.6,-0.05,20,2005,8.83,0.82,8.45,114.91999999999999,0.14402502315717336,5.0,10.0
2005-11-02,2616,170525,2357907,13.55,14.1,13.55,13.7,0.1,52,2005,8.2,0.82,8.45,115.76499999999999,0.1411102837235172,5.0,10.0
2005-11-03,2616,20000,275300,13.8,13.8,13.6,13.8,0.1,15,2005,8.26,0.83,8.45,116.61,0.14214028579449178,5.0,10.0
2005-11-04,2616,49037,673058,13.6,13.85,13.6,13.8,0.0,16,2005,8.26,0.83,8.45,116.61,0.14214028579449178,5.0,10.0
2005-11-07,2616,25563,351654,13.75,13.8,13.6,13.8,0.0,20,2005,8.26,0.83,8.45,116.61,0.14214028579449178,5.0,10.0
2005-11-08,2616,37560,515935,13.7,13.75,13.7,13.75,-0.05,20,2005,8.23,0.83,8.45,116.18749999999999,0.1416252847590045,5.0,10.0
2005-11-09,2616,17685,241969,13.7,13.7,13.6,13.7,-0.05,11,2005,8.2,0.82,8.45,115.76499999999999,0.1411102837235172,5.0,10.0
2005-11-10,2616,49000,668200,13.65,13.7,13.6,13.65,-0.05,26,2005,8.17,0.82,8.45,115.34249999999999,0.1405952826880299,5.0,10.0
2005-11-11,2616,64900,895471,13.85,13.85,13.7,13.75,0.1,17,2005,8.23,0.83,8.45,116.18749999999999,0.1416252847590045,5.0,10.0
2005-11-14,2616,14332,197838,13.85,13.85,13.8,13.85,0.1,15,2005,8.29,0.83,8.45,117.03249999999998,0.14265528682997905,5.0,10.0
2005-11-15,2616,11531,159066,13.85,13.85,13.75,13.8,-0.05,6,2005,8.26,0.83,8.45,116.61,0.14214028579449178,5.0,10.0
2005-11-16,2616,9100,124120,13.65,13.65,13.6,13.6,-0.2,14,2005,8.14,0.82,8.45,114.91999999999999,0.1400802816525426,5.0,10.0
2005-11-17,2616,3347,45521,13.6,13.7,13.6,13.7,0.1,9,2005,8.2,0.82,8.45,115.76499999999999,0.1411102837235172,5.0,10.0
2005-11-18,2616,38054,519936,13.7,13.8,13.55,13.55,-0.15,26,2005,8.11,0.82,8.45,114.4975,0.13956528061705534,5.0,10.0
2005-11-21,2616,14366,194661,13.6,13.6,13.5,13.5,-0.05,13,2005,8.08,0.81,8.45,114.07499999999999,0.13905027958156807,5.0,10.0
2005-11-22,2616,12538,168624,13.5,13.5,13.4,13.5,0.0,10,2005,8.08,0.81,8.45,114.07499999999999,0.13905027958156807,5.0,10.0
2005-11-23,2616,21589,290509,13.4,13.7,13.35,13.7,0.2,17,2005,8.2,0.82,8.45,115.76499999999999,0.1411102837235172,5.0,10.0
2005-11-24,2616,30014,402689,13.5,13.5,13.35,13.4,-0.3,29,2005,8.02,0.81,8.45,113.22999999999999,0.13802027751059348,5.0,10.0
2005-11-25,2616,11465,153198,13.4,13.5,13.3,13.3,-0.1,12,2005,7.96,0.8,8.45,112.38499999999999,0.1369902754396189,5.0,10.0
2005-11-28,2616,20695,279193,13.5,13.5,13.5,13.5,0.2,12,2005,8.08,0.81,8.45,114.07499999999999,0.13905027958156807,5.0,10.0
2005-11-29,2616,5124,68615,13.4,13.5,13.35,13.5,0.0,5,2005,8.08,0.81,8.45,114.07499999999999,0.13905027958156807,5.0,10.0
2005-11-30,2616,114588,1548445,13.5,13.7,13.4,13.45,-0.05,33,2005,8.05,0.81,8.45,113.65249999999999,0.13853527854608078,5.0,10.0
2005-12-01,2616,29408,396409,13.5,13.5,13.4,13.4,-0.05,12,2005,8.02,0.81,8.45,113.22999999999999,0.13802027751059348,5.0,10.0
2005-12-02,2616,47180,633699,13.4,13.55,13.4,13.55,0.15,15,2005,8.11,0.82,8.45,114.4975,0.13624765294906452,5.0,10.0
