year,stock,price,count,return,action
1999,5387,48.05,11.0,0.0,buy
1999,2371,35.92,15.0,0.0,buy
1999,2312,23.97,23.0,0.0,buy
1999,2515,5.65,101.0,0.0,buy
1999,2618,10.72,53.0,0.0,buy
1999,1440,6.82,83.0,0.0,buy
1999,2301,11.27,50.0,0.0,buy
1999,1904,6.57,87.0,0.0,buy
1999,2381,94.09,6.0,0.0,buy
1999,2350,36.82,15.0,0.0,buy
1999,2473,42.13,13.0,0.0,buy
1999,1304,12.72,45.0,0.0,buy
1999,2366,26.39,21.0,0.0,buy
1999,2010,5.09,112.0,0.0,buy
1999,2416,33.02,17.0,0.0,buy
1999,2384,28.81,19.0,0.0,buy
1999,2520,8.4,68.0,0.0,buy
1999,2492,36.41,15.0,0.0,buy
2000,2355,6.58,86.0,0.0,buy
2000,2394,15.5,36.0,0.0,buy
2000,2328,6.7,84.0,0.0,buy
2000,5387,19.45,11.0,0.404786680541103,sell
2000,2010,3.56,112.0,0.6994106090373282,sell
2000,2392,19.96,28.0,0.0,buy
2000,1304,3.99,45.0,0.3136792452830189,sell
2000,2301,8.71,50.0,0.7728482697426797,sell
2000,2312,6.62,23.0,0.2761785565289946,sell
2000,2416,19.5,17.0,0.5905511811023622,sell
2000,2340,15.95,35.0,0.0,buy
2000,2337,35.67,15.0,0.0,buy
2000,2379,35.13,16.0,0.0,buy
2000,2371,11.8,15.0,0.32850779510022265,sell
2000,2388,180.97,3.0,0.0,buy
2000,2332,11.62,48.0,0.0,buy
2000,2366,9.1,21.0,0.3448275862068965,sell
2000,2303,27.33,20.0,0.0,buy
2000,2473,25.76,22.0,0.0,buy
2000,1440,3.03,83.0,0.44428152492668616,sell
2000,2618,11.18,53.0,1.042910447761194,sell
2000,1604,13.5,42.0,0.0,buy
2000,1904,4.8,87.0,0.7305936073059359,sell
2000,2492,16.14,15.0,0.44328481186487234,sell
2000,2313,105.64,5.0,0.0,buy
2000,2325,7.87,72.0,0.0,buy
2001,2313,46.69,5.0,0.4419727375993941,sell
2001,2384,12.25,19.0,0.42519958347795905,sell
2001,2401,63.73,8.0,0.0,buy
2001,2436,27.86,20.0,0.0,buy
2001,2365,10.79,52.0,0.0,buy
2001,2350,16.53,15.0,0.448940793047257,sell
2001,2355,16.37,86.0,2.487841945288754,sell
2001,1604,11.23,42.0,0.8318518518518518,sell
2001,2385,14.3,39.0,0.0,buy
2001,2526,5.72,98.0,0.0,buy
2001,2473,34.88,22.0,1.3540372670807452,sell
2001,2394,36.76,36.0,2.3716129032258064,sell
2001,5471,40.02,14.0,0.0,buy
2001,2329,40.84,13.0,0.0,buy
2001,2388,232.56,3.0,1.2850748742885563,sell
2001,2337,31.72,15.0,0.8892626857303054,sell
2001,2381,32.57,6.0,0.34615793389308114,sell
2001,2332,27.37,48.0,2.355421686746988,sell
2001,2331,77.93,7.0,0.0,buy
2001,2328,14.36,84.0,2.143283582089552,sell
2001,2377,51.61,10.0,0.0,buy
2001,1311,13.51,42.0,0.0,buy
2001,1402,6.79,83.0,0.0,buy
2001,2392,40.27,28.0,2.0175350701402808,sell
2001,2379,105.04,16.0,2.9900370054084826,sell
2001,2303,34.47,20.0,1.2612513721185512,sell
2001,9917,18.26,31.0,0.0,buy
2001,2912,35.26,16.0,0.0,buy
2001,2325,15.72,72.0,1.9974587039390093,sell
2001,2402,21.14,26.0,0.0,buy
2002,2303,16.52,34.0,0.0,buy
2002,1504,7.32,77.0,0.0,buy
2002,2448,31.4,17.0,0.0,buy
2002,2377,26.1,10.0,0.5057159465219918,sell
2002,3041,27.35,20.0,0.0,buy
2002,2402,19.49,26.0,0.9219489120151371,sell
2002,2379,74.35,7.0,0.0,buy
2002,1311,16.83,42.0,1.245743893412287,sell
2002,2385,12.81,39.0,0.8958041958041958,sell
2002,2441,8.55,66.0,0.0,buy
2002,1722,11.88,47.0,0.0,buy
2002,2324,16.92,33.0,0.0,buy
2002,2618,20.98,26.0,0.0,buy
2002,2403,14.79,38.0,0.0,buy
2002,2029,22.92,24.0,0.0,buy
2002,2498,25.21,22.0,0.0,buy
2002,5305,10.4,54.0,0.0,buy
2002,1905,8.54,66.0,0.0,buy
2002,3008,106.23,5.0,0.0,buy
2002,2401,49.56,11.0,0.0,buy
2002,2495,12.37,45.0,0.0,buy
2002,2353,15.21,37.0,0.0,buy
2002,2526,6.17,98.0,1.0786713286713288,sell
2002,1402,6.58,83.0,0.9690721649484535,sell
2002,1440,5.12,110.0,0.0,buy
2002,9917,15.72,31.0,0.8608981380065717,sell
2002,2912,28.36,16.0,0.8043108338060125,sell
2002,1313,8.62,65.0,0.0,buy
2002,2329,18.77,13.0,0.4595984329089127,sell
2002,2331,33.08,7.0,0.4244835108430643,sell
2002,2204,43.88,12.0,0.0,buy
2002,5471,27.92,20.0,0.0,buy
2002,2006,5.93,95.0,0.0,buy
2003,2401,56.32,11.0,1.1364003228410007,sell
2003,2332,26.02,21.0,0.0,buy
2003,2204,43.55,12.0,0.9924794895168639,sell
2003,2605,9.86,56.0,0.0,buy
2003,3222,68.53,8.0,0.0,buy
2003,2473,38.79,14.0,0.0,buy
2003,2402,34.33,16.0,0.0,buy
2003,2385,26.23,21.0,0.0,buy
2003,2485,20.95,26.0,0.0,buy
2003,5203,72.92,7.0,0.0,buy
2003,2454,143.37,3.0,0.0,buy
2003,9904,17.09,32.0,0.0,buy
2003,1440,8.5,110.0,1.6601562499999998,sell
2003,2409,25.11,22.0,0.0,buy
2003,5305,14.65,54.0,1.408653846153846,sell
