,year,stock,price,count,return,action
208,2007,2485,78.83,37.0,3.762768496420048,sell
71,2004,2354,34.2,65.0,2.773722627737226,sell
151,2006,3189,71.98,29.0,2.6541297935103243,sell
186,2007,5608,39.24,50.0,2.497772119669001,sell
216,2007,2347,55.77,30.0,2.1302521008403366,sell
34,2003,2385,26.23,63.0,2.0476190476190474,sell
187,2007,3481,92.52,16.0,1.944105904601807,sell
166,2006,9904,25.79,58.0,1.9217585692995527,sell
135,2005,2313,18.27,79.0,1.8053359683794468,sell
161,2006,2547,39.87,35.0,1.7767379679144382,sell
